,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
59663,1237202403503542272,1233571158974500866,2020-03-10T02:23:33Z,JoHofmann2,"03/09/20 PM States w/o reported #coronavirus #COVID19 #SARSCOV2
Alaska
Idaho
Michigan
Montana
North Dakota
South Dakota
New Mexico
Arkansas
Mississippi
Alabama 
West Virginia
Delaware
Maine",Twitter for iPad,,,,False,False,692,0,,,,37,87,,2020-02-29T01:54:34Z,False,et
75437,1237265397918978048,139283160,2020-03-10T06:33:52Z,kr3at,"10 Presumptive Cases Of #Coronavirus Aannounced In Pennsylvania, with 3 new cases in Montgomery County and one new case in Monroe County.

Count #Covid19 case breakdown:

Montgomery - 7 
Delaware - 1
Monroe - 1
Wayne - 1

https://t.co/IiwO0A2iup",Twitter Web App,,,,False,False,9223,6,,,,16555,7149,,2010-05-02T03:52:20Z,False,en
109643,1237355021471223810,23430917,2020-03-10T12:30:00Z,PaSenateDems,"Pennsylvania now has 10 presumptive positive cases of coronavirus. 

Counties impacted to date include:
☑️ Delaware (1)
☑️ Monroe (1)
☑️ Montgomery (7)
☑️ Wayne (1)

Follow @PAHealthDept
for updates on the #COVID19 in the Commonwealth. https://t.co/O7mfC2Npx4",TweetDeck,,,,False,False,16267,2,,,,20908,419,,2009-03-09T12:51:31Z,True,en
110960,1237358794591449088,23430917,2020-03-10T12:45:00Z,PaSenateDems,"Pensilvania ahora tiene 10 presuntos casos positivos de coronavirus.

Los condados afectados hasta la fecha incluyen:

Counties impacted to date include:
☑️ Delaware (1)
☑️ Monroe (1)
☑️ Montgomery (7)
☑️ Wayne (1)

Seguir @PAHealthDept para actualizaciones sobre el #COVID19. https://t.co/5GuY053QRo",TweetDeck,,,,False,False,16267,0,,,,20908,419,,2009-03-09T12:51:31Z,True,es
120135,1237378523242934272,3054651098,2020-03-10T14:03:23Z,BSJSports,"Everything I am playing today:

Robert Morris ML
Wake Forest ML
Virginia Tech +4
Niagara ML
Canisius +3.5
Gonzaga Over 143
Fairfield Over 114.5
Delaware St ML

St Mary's +355 (Small stab)

#NCAA #CBB #NBA #DFS #coronavirus #COVID19 #COVID2019 #NHL #bets #sports #cuny",Twitter Web App,,,,False,False,33,0,,,,115,12,,2015-03-02T04:43:58Z,False,en
125151,1237386985179959299,844928562352312320,2020-03-10T14:37:01Z,CountyofErie,"Update: There are now a total of 11 presumptive positive cases of COVID-19 in Pennsylvania.
Counties impacted to date include:
Delaware (1)
Monroe (1)
Montgomery (8)
Wayne (1)
#COVID19",Twitter Web App,,,,False,False,10,1,,,,684,52,,2017-03-23T15:07:22Z,False,en
125706,1237387955007893505,1233571158974500866,2020-03-10T14:40:52Z,JoHofmann2,"03/10/20 PM States w/o reported #coronavirus #COVID19 #SARSCOV2
Alaska
Idaho
Michigan
Montana
North Dakota
South Dakota
New Mexico
Arkansas
Mississippi
Alabama 
West Virginia
Delaware
Maine",Twitter Web App,,,,False,False,686,0,,,,37,87,,2020-02-29T01:54:34Z,False,et
133041,1237400338472239104,1514270551,2020-03-10T15:30:05Z,iRooah,"And she touched her mouth!!!
What an irony? This made me laugh so hard.
Credits- Robert B. Weide, Larry David, and Jeff Garlin.
#Rooah #Business #Delaware #JustForLaughs #Covid19 #Coronavirus https://t.co/loWSCJlaLq",Crowdfire App,,,,False,False,111,0,,,,35,70,,2013-06-13T19:27:34Z,False,en
138854,1237409707201101824,880617144479776769,2020-03-10T16:07:18Z,udbme,"For our students and alumni looking for #jobs #STEMjobs: @Delaware_Bio #DEBIO is hosting a #Virtual #CareerFair TOMORROW from 12 noon to 7 PM. Leave your #COVID19 woes behind, polish up that resume, and register here in advance: https://t.co/62hG2jSLQk",Twitter Web App,,,,False,False,1364,1,,,,594,296,,2017-06-30T02:41:03Z,False,en
144145,1237418088322252801,3031389838,2020-03-10T16:40:37Z,DaviesswPhD,I canceled a collaborator's visit this week and my seminar at U Delaware next week. I'm really really bummed but I know it is the right thing to do. We all need to help #FlattenTheCurve #COVID19,Twitter for Android,,,,False,False,7591,0,,,,1317,657,,2015-02-11T21:38:10Z,False,en
148515,1237424494475710465,1105502211814146049,2020-03-10T17:06:04Z,NPeterRasmusse1,"Two conferences down. The great corp gov event @ U of Delaware, and now SEC Speaks. I know, I know, but it's sad, I love both events. #CoronavirusOutbreak #CorpGov #SEC",Twitter Web App,,,,False,False,1095,1,,,,366,501,,2019-03-12T16:14:01Z,False,en
149406,1237425866784886784,26295248,2020-03-10T17:11:31Z,JohnCallahan42,"@KFosterStomberg Delaware was testing three suspected cases as of last night.  Looks like two of them were cleared.  One left to go for today...  #COVID19 #Delaware 

https://t.co/5twxVLmV80",Twitter Web App,1.237205982712914e+18,606510240.0,KFosterStomberg,False,False,4808,0,,,,205,387,,2009-03-24T18:48:35Z,False,en
181885,1237485474513649665,851540397327298562,2020-03-10T21:08:23Z,coffeebaristaa,"8 cases in Philadelphia 
1 case in Delaware County
18 cases in New Jersey (1 is dead)
No cases in Delaware 
#CoronavirusOutbreak #COVID19US #COVID19",Twitter for iPhone,,,,False,False,41007,0,,,,482,513,,2017-04-10T21:00:26Z,False,en
197045,1237512834600271873,823021002665783296,2020-03-10T22:57:06Z,THE_Eric_Allen,The University of Delaware #COVID19 #coronavirus plan. Part 1 https://t.co/NztxsHLyFU,Twitter for iPhone,,,,False,False,16424,0,,,,648,1239,,2017-01-22T04:14:32Z,False,en
201045,1237521691120553984,26295248,2020-03-10T23:32:17Z,JohnCallahan42,"@Schneids_30 @THE_Eric_Allen Don't think anyone is really sure about anything re #COVID19. I wouldn't want to be in an administrator's shoes right now. Was hoping @UDelaware would've shut things down last week, to make sure UD faculty/staff/students are safe and provide time to transition classes/work online",Twitter Web App,1.2375200556943196e+18,2476357768.0,Schneids_30,False,False,4808,0,,,,205,387,,2009-03-24T18:48:35Z,False,en
205482,1237531662331695104,817294339,2020-03-11T00:11:55Z,ProfALucas,.@UDelaware #COVID19 decision: “The Provost’s Office is now asking faculty who are ready to do so to move their courses online at this time.” Not mandatory.,Twitter for iPhone,,,,False,False,997,0,,,,2044,1199,,2012-09-11T12:05:29Z,False,en
214182,1237554666927316994,19411860,2020-03-11T01:43:19Z,Jeffrey_Levy,"The only US states without a known #COVID19 #coronavirus case are Maine, Delaware, West Virginia, Alabama, Mississippi, Arkansas, New Mexico, North Dakota, Montana, Wyoming, Idaho and Alaska.",Twitter for iPhone,,,,False,False,11745,0,,,,516,2309,,2009-01-23T20:26:56Z,False,en
219884,1237571276111147009,1233571158974500866,2020-03-11T02:49:19Z,JoHofmann2,"03/10/20 PM States w/o reported #coronavirus #COVID19 #SARSCOV2
Alaska
Idaho
Montana
North Dakota
New Mexico
Arkansas
Mississippi
Alabama 
West Virginia
Delaware
Maine",Twitter for iPad,,,,False,False,685,0,,,,37,87,,2020-02-29T01:54:34Z,False,et
220899,1237574459898204160,2451524312,2020-03-11T03:01:58Z,Contreras_NL,"#UDelaware is moving to online courses for the rest of the spring semester and international travel is prohibited. Programming for students age 50 and older is also suspended, which impacts a lot of our students because UDel offers free tuition to students 60 and older. #COVID19",Twitter for iPhone,,,,False,False,26291,1,,,,1536,1906,,2014-04-18T15:23:34Z,False,en
221003,1237574816263110657,2975960806,2020-03-11T03:03:23Z,dukesealman,"@tellerby1964 @Kris_Sacrebleu Doctor of Education (Ed.D.) in educational leadership from the University of Delaware.

don't hand her a scalpel - or a dentist drill.

#JoeBiden2020 

#covid19",Twitter Web App,1.237573972528513e+18,1421912497.0,tellerby1964,False,False,15106,0,,,,146,95,,2015-01-13T06:03:52Z,False,en
222124,1237578278983962626,20707803,2020-03-11T03:17:09Z,KrisieV,Delaware still safe from #COVID19 and @JoeBiden wins #SuperTuesday2. Coincidence? https://t.co/G0IM6pTc4e,Twitter for Android,,,,False,False,1096,0,US,"Delaware, USA",admin,314,1121,,2009-02-12T19:24:42Z,False,en
225553,1237589344375828480,2451524312,2020-03-11T04:01:07Z,Contreras_NL,"#UDelaware sponsored travel to all international locations is prohibited until the end of spring semester. I was really looking forward to my symposium presentation at #LASA2020 in Guadalajara, Mexico. I am following the movement of adding #COVID19 related cancellations on my CV",Twitter for iPhone,,,,False,False,26291,0,,,,1536,1906,,2014-04-18T15:23:34Z,False,en
244349,1237651112238485504,39597250,2020-03-11T08:06:34Z,tcely,"Pennsylvania (PA, USA) #COVID19 Update

To date, there are 12 presumptive positive cases.

Counties impacted to date include:
Delaware (1),
Monroe (1),
Montgomery (8),
Philadelphia (1),
Wayne (1) https://t.co/PeBxVrBS5A",Twitter for Android,,,,True,False,16875,0,,,,365,1290,,2009-05-12T21:12:39Z,False,en
253606,1237670188172050432,1079749795823214594,2020-03-11T09:22:22Z,flyingstocksman,"Yet another #Oil stock. #Denbury Resources it's latest sell on our system in APRIL 2019. See chart. Key: above the cloud ""In Buy"" below ""In Sell"" $dnr #oilwar #coronavirus #COVID19 #Covid_19 #Texas #NYSE #stocks #trading #investing #Petroleum #trading212 #Delaware #ShaleOil https://t.co/RY710td39w",Twitter Web App,,,,False,False,277,0,,,,648,960,,2018-12-31T14:43:06Z,False,en
260591,1237682189309030400,17159098,2020-03-11T10:10:03Z,sppitt,"Check this site, every day. #COVID19 #Preparedness Coronavirus | University of Delaware https://t.co/HK62IwWaJy",Twitter for iPhone,,,,False,False,10958,0,,,,2125,1142,,2008-11-04T15:54:14Z,False,en
270955,1237698914003963910,74719756,2020-03-11T11:16:31Z,waterspryt,"So although we have no cases here in Delaware, my daughters University is weighing whether to close or to go to Online only due to #COVID19 concerns. This is because some Prof's&amp;Students travel in from neighboring MD&amp;PA where they do have cases of this virus. Idk though...",Twitter for Android,,,,False,False,82575,0,,,,3382,4359,,2009-09-16T12:35:52Z,False,en
271081,1237699141452681218,48112717,2020-03-11T11:17:25Z,watergatesummer,I repeat where the hell are the ONE MILLION #testingkits Pence promised ? If you know  of  people not being tested in your state please post below...thanks ...so far I know of PA... Delaware...others ?  #Covid19 #coronovirus https://t.co/82MpVGFWRk,Twitter for Android,,,,True,False,257784,2,,,,6469,7114,,2009-06-17T20:56:44Z,False,en
275114,1237705026132488194,1233571158974500866,2020-03-11T11:40:48Z,JoHofmann2,"03/11/20 AM States w/o reported #coronavirus #COVID19 #SARSCOV2
Alaska
Idaho
Montana
North Dakota
New Mexico
Arkansas
Mississippi
Alabama 
West Virginia
Delaware
Maine",Twitter for iPad,,,,False,False,683,0,,,,36,87,,2020-02-29T01:54:34Z,False,et
281350,1237716656895524866,3218464527,2020-03-11T12:27:01Z,PAHealthDept,"#COVID19 Update: PA has 14 presumptive positive cases of coronavirus. Counties impacted to date include:
✔️ Bucks (2)
✔️ Delaware (1)
✔️ Monroe (1)
✔️ Montgomery (8)
✔️ Philadelphia (1)
✔️ Wayne (1)

Check our COVID-19 page for the latest info: https://t.co/7pzosEXhEX",TweetDeck,,,,False,False,2228,78,,,,16200,949,,2015-04-28T19:38:36Z,True,en
287828,1237724961940242433,23430917,2020-03-11T13:00:01Z,PaSenateDems,"Pennsylvania now has 14 presumptive positive cases of coronavirus. 

Counties impacted to date include:
☑️ Bucks (2)
☑️ Delaware (1)
☑️ Monroe (1)
☑️ Montgomery (8)
☑️ Philadelphia (1)
☑️ Wayne (1)

Follow @PAHealthDept
for updates on the #COVID19 in the Commonwealth. https://t.co/2bNHStCT4G",TweetDeck,,,,False,False,16267,6,,,,20902,419,,2009-03-09T12:51:31Z,True,en
290901,1237728731906461702,23430917,2020-03-11T13:15:00Z,PaSenateDems,"Pensilvania ahora tiene 14 presuntos casos positivos de coronavirus.

Los condados afectados hasta la fecha incluyen:
☑️ Bucks (2)
☑️ Delaware (1)
☑️ Monroe (1)
☑️ Montgomery (8)
☑️ Philadelphia (1)
☑️ Wayne (1)

Seguir @PAHealthDept para actualizaciones sobre el #COVID19. https://t.co/T9bbZvSLcZ",TweetDeck,,,,False,False,16267,0,,,,20902,419,,2009-03-09T12:51:31Z,True,es
293979,1237732672274907136,266178000,2020-03-11T13:30:39Z,UDELDRC,"The site for information about #UD’s actions to prepared for #COVID19. As of this date, no cases have been identified in #Delaware. https://t.co/WX7zaOE6oM (Which also links to https://t.co/fGKo5f8AzX) #CoronaVirus @UDelaware https://t.co/K81G1Wc7ar",TweetDeck,,,,False,False,28,1,,,,1237,12,,2011-03-14T20:11:32Z,False,en
303940,1237744600116277251,342306661,2020-03-11T14:18:03Z,MySourcePoint,Happening Now: @DelawareHealth talking to community leaders during #MarchforMeals event about how to protect yourself and those most vulnerability from  #COVID19. https://t.co/CcIwbckAAa,Twitter for Android,,,,False,False,207,1,,,,542,96,,2011-07-25T20:12:35Z,False,en
314920,1237756594085138436,92343143,2020-03-11T15:05:43Z,DelawareHealth,"#COVID19 update from our higher education partners at @cscc_edu, including Columbus State Delaware Campus. https://t.co/u5zUmHm3dE",Twitter Web App,,,,True,False,586,1,,,,1181,503,,2009-11-24T19:19:42Z,False,en
323130,1237765487397928961,3218464527,2020-03-11T15:41:03Z,PAHealthDept,"#COVID19 Update: PA has 13 presumptive positive + 2 confirmed cases of coronavirus. Total cases = 15
Counties impacted to date:
✔️ Bucks (2)
✔️ Delaware (1)
✔️ Monroe (1)
✔️ Montgomery (9)
✔️ Philadelphia (1)
✔️ Wayne (1)

Latest info: https://t.co/7pzosEXhEX",TweetDeck,,,,False,False,2228,79,,,,16137,949,,2015-04-28T19:38:36Z,True,en
332038,1237775179138445319,266362374,2020-03-11T16:19:34Z,jamescir1,Delaware holding strong with no confirmed #COVID19 cases. Have a feeling @thestarboard opening weekend will end this trend...joking but kinda not really https://t.co/60KLU0O4g6,Twitter for iPhone,,,,False,False,5621,0,,,,282,400,,2011-03-15T03:18:12Z,False,en
333344,1237776644649226240,39597250,2020-03-11T16:25:23Z,tcely,"Pennsylvania (PA, USA) #COVID19 Update

To date, there are 13 presumptive positive cases and 2 confirmed cases. Total cases = 15.

Counties impacted to date include:
Bucks (2),
Delaware (1),
Monroe (1),
Montgomery (9),
Philadelphia (1),
Wayne (1)

https://t.co/UdiU8BQIdo https://t.co/H0vDgUiyn7",Twitter for Android,,,,True,False,16875,0,,,,365,1290,,2009-05-12T21:12:39Z,False,en
369499,1237802135628255233,41253313,2020-03-11T18:06:41Z,DavinaAnderson,"Hey Delaware. For the most accurate and up-to-date information regarding COVID19 in our state, visit the website below. #COVID19 #netde https://t.co/gcZlXMngTe",Twitter Web App,,,,False,False,5813,1,,,,457,1284,,2009-05-20T00:35:09Z,False,en
370856,1237803238562422784,16047407,2020-03-11T18:11:04Z,ymcade,"Hey Delaware. For the most accurate and up-to-date information regarding COVID19 in our state, visit the website below. #COVID19 #netde #ymcaDE #ForSocialResponsibility https://t.co/w1Ts916we8 https://t.co/6tlpKsDBZ8",Twitter Web App,,,,False,False,590,0,,,,2642,476,,2008-08-29T21:07:09Z,False,en
373855,1237805737004404736,26295248,2020-03-11T18:20:59Z,JohnCallahan42,"Today, 6:30 pm. Gov Carney is hosting a virtual town hall to talk about issues imp to the state. He will be joined by Dr. Kara Odom Walker, Sec of Dept of Health &amp; Social Services, to answer questions about the coronavirus. #Delaware #COVID19 @UDelaware

https://t.co/5twxVLmV80",Twitter Web App,,,,False,False,4807,0,,,,204,387,,2009-03-24T18:48:35Z,False,en
399775,1237828254423277570,34886370,2020-03-11T19:50:28Z,ISamMathur,"#coronavirus #COVID19 #CoronavirusDE
#CoronavirusDelaware https://t.co/P2D7gfJGCu",Twitter Web App,,,,False,False,639,1,,,,282,106,,2009-04-24T09:13:44Z,False,und
400379,1237828804443344897,26295248,2020-03-11T19:52:39Z,JohnCallahan42,Thanks for posting so quickly.  Only a matter of time.  I guess that's it for UD.  Just waiting now for the email on what to do. Likely move everything online and work from home.   @UDelaware #COVID19 https://t.co/tiPe1N2Y71,Twitter Web App,,,,True,False,4807,0,,,,204,387,,2009-03-24T18:48:35Z,False,en
400803,1237829158434222082,353869240,2020-03-11T19:54:03Z,PhillyNewsGuy,#BREAKING Delaware has announced first presumed positive case of #COVID19 in 50 y.o. New Castle County man associated with @UDelaware community. #NetDE  #coronavirus @CBSPhilly,Twitter Web App,,,,False,False,36070,1,,,,2847,4410,,2011-08-12T19:25:50Z,True,en
406390,1237834045599473670,26295248,2020-03-11T20:13:28Z,JohnCallahan42,"@DelawarePublic Today, 6:30 pm. Gov Carney is hosting a virtual town hall to talk about issues imp to the state. He will be joined by Dr. Kara Odom Walker, Sec of Dept of Health &amp; Social Services, to answer questions about the coronavirus. #Delaware #COVID19

https://t.co/5twxVLmV80",Twitter Web App,1.2378327914102129e+18,552066959.0,DelawarePublic,False,False,4807,0,,,,204,387,,2009-03-24T18:48:35Z,False,en
